DatasetName,MeanSkewnessOfNumericAtts,MeanKurtosisOfNumericAtts,MeanStdDevOfNumericAtts,MeanMeansOfNumericAtts,NumAttributes,Dimensionality,PercentageOfBinaryAtts,PercentageOfNominalAtts,NumNominalAtts,PercentageOfNumericAtts,NumNumericAtts,NumBinaryAtts,ClassCount,NegativePercentage,PositivePercentage,DefaultAccuracy,IncompleteInstanceCount,InstanceCount,NumMissingValues,PercentageOfMissingValues,MeanNominalAttDistinctValues,StdvNominalAttDistinctValues,MinNominalAttDistinctValues,MaxNominalAttDistinctValues,ClassEntropy,MeanMutualInformation,NoiseToSignalRatio,MeanAttributeEntropy,EquivalentNumberOfAtts,Algorithm(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_currency.arff,0.628733463,-0.351642326,10.52461937,14.48064516,4,0.129032258,0,0.5,2,0.25,1,0,7,0.290322581,0.064516129,0.290322581,0,31,0,0,17,19.79898987,3,31,2.618595407,1.640707901,0.881679226,3.087285974,1.596015602,trees.J48(1): trees.J48graft(1): trees.RandomForest(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_cyyoung8092.arff,-0.019902791,-0.767928406,25.5094476,332.025458,11,0.113402062,0.181818182,0.272727273,3,0.636363636,7,2,2,0.75257732,0.24742268,0.75257732,0,97,0,0,22,34.64101615,2,62,0.807167555,0.253209134,9.145335803,2.56889169,3.187750551,trees.FT(1): trees.J48(2): trees.J48graft(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_cyyoung9302.arff,-0.088941563,-0.943337136,33.43141613,57.84371025,11,0.119565217,0.181818182,0.363636364,4,0.545454545,6,2,2,0.793478261,0.206521739,0.793478261,0,92,0,0,18,27.5317998,2,59,0.734781352,0.175433837,14.33985878,2.691130289,4.188367328,trees.FT(1): trees.RandomForest(2): trees.SimpleCart(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_dmft.arff,0,0,0,0,5,0.006273526,0.2,0.8,4,0,0,1,6,0.194479297,0.154328733,0.194479297,0,797,0,0,5.25,3.304037934,2,9,2.580259208,0.041870866,47.1713299,2.016975283,61.62421452,trees.J48(1): trees.J48graft(1): trees.RandomForest(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_donner.arff,0,0,0,0,4,0.142857143,0.25,0.75,3,0,0,1,2,0.5,0.5,0.5,0,28,0,0,5.666666667,3.214550254,2,8,1,0.08724959,24.24654608,2.202750788,11.46137195,trees.RandomTree(1): trees.REPTree(2): trees.BFTree(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_draft.arff,0,-1.204940424,105.7031132,183.3333333,6,0.016393443,0,0.333333333,2,0.5,3,0,2,0.912568306,0.087431694,0.912568306,1,366,1,4.55E-04,12,0,12,12,0.427838544,0.037425007,94.78187122,3.584637216,11.43188944,trees.BFTree(1): trees.FT(1): trees.J48(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_election2000.arff,3.833909832,19.89004037,27710.01648,18328.4968,16,0.23880597,0,0.0625,1,0.875,14,0,2,0.731343284,0.268656716,0.731343284,0,67,0,0,67,0,67,67,0.839530498,0.839530498,6.225573346,6.06608919,1,trees.FT(1): trees.LADTree(2): trees.RandomForest(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_esr.arff,1.0196738,1.375402102,2.610207096,19.2225,3,0.09375,0,0,0,0.666666667,2,0,2,0.8125,0.1875,0.8125,0,32,0,0,-1,-1,-1,-1,0.69621226,-1,-1,-1,-1,trees.J48(1): trees.J48graft(1): trees.RandomForest(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_famufsu.arff,0.279198837,-1.729328576,66.96464542,81.42857143,4,0.285714286,0,0.5,2,0.25,1,0,2,0.5,0.5,0.5,0,14,0,0,8.5,2.121320344,7,10,1,0.5,5.043281273,3.021640636,2,trees.J48(1): trees.J48graft(1): trees.LADTree(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_fraud.arff,0,0,0,0,12,0.285714286,0.833333333,0.916666667,11,0,0,10,2,0.69047619,0.30952381,0.69047619,0,42,0,0,2.636363636,2.110579412,2,9,0.892623013,0.058730235,13.77795946,0.867913027,15.19869652,trees.SimpleCart(1): trees.BFTree(2): trees.RandomForest(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_germangss.arff,3.205712555,11.73583837,30.02568648,15.0975,6,0.015,0.333333333,0.666666667,4,0.166666667,1,2,4,0.25,0.25,0.25,0,400,0,0,3.5,1.732050808,2,5,2,2.78E-16,5.98E+15,1.660964047,7.21E+15,trees.LADTree(1): trees.SimpleCart(2): trees.FT(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_gsssexsurvey.arff,1.246030269,2.761819673,4310.517902,6153.014675,10,0.062893082,0.5,0.5,5,0.4,4,5,5,0.779874214,0.012578616,0.779874214,6,159,6,0.003773585,2,0,2,2,1.067869351,0.034148451,15.3215153,0.557354465,31.2713848,trees.J48(1): trees.J48graft(1): trees.FT(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_gviolence.arff,1.008343434,2.139339267,105.8857381,926.3952703,10,0.135135135,0,0.1,1,0.8,8,0,2,0.581081081,0.418918919,0.581081081,0,74,0,0,74,0,74,74,0.980947013,0.980947013,5.330059913,6.209453366,1,trees.RandomForest(1): trees.FT(2): trees.J48(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_halloffame.arff,0.832342506,2.124916493,324.9296679,637.4240551,18,0.013432836,0,0.111111111,2,0.833333333,15,0,3,0.906716418,0.042537313,0.906716418,20,1340,20,8.29E-04,673,941.8662325,7,1339,0.540097859,0.275452267,22.25664936,6.4060968,1.960767519,trees.FT(1): trees.J48(2): trees.J48graft(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_happiness.arff,1.032462048,0.192191425,23.60988852,25.28333333,4,0.066666667,0,0.5,2,0.25,1,0,3,0.333333333,0.333333333,0.333333333,0,60,0,0,4.5,0.707106781,4,5,1.584962501,-3.89E-16,-1,2.160964047,-1,trees.SimpleCart(1): trees.FT(2): trees.BFTree(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_homerun.arff,0.330683782,-0.586638887,19.25047595,33.49548762,28,0.171779141,0.25,0.5,14,0.464285714,13,7,2,0.944785276,0.055214724,0.938650307,1,163,9,0.001971954,3.571428571,2.027286391,2,7,0.308148692,0.013413252,95.27330888,1.291338172,22.97345101,trees.BFTree(1): trees.FT(1): trees.J48(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
